,year,tract,housing_units_total,housing_units_rental,housing_units_other,median_rent,population_total,population_poverty_below,population_poverty_above,population_race_white,population_race_black,population_race_latinx,population_race_asian,population_race_other
0,2010,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
1,2011,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
2,2012,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
3,2010,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
4,2011,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
5,2012,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
6,2010,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
7,2011,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
8,2012,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
9,2010,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
10,2011,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
11,2012,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
12,2010,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
13,2011,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
14,2012,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
15,2010,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
16,2011,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
17,2012,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
18,2010,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
19,2011,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
20,2012,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
21,2010,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
22,2011,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
23,2012,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
24,2010,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
25,2011,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
26,2012,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
27,2010,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
28,2011,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
29,2012,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
30,2010,17031010702,2258.0,1689.0,569.0,830,5514.0,1423.0,4091.0,1345.0,1121.0,2901.0,75.0,72.0
31,2011,17031010702,2258.0,1689.0,569.0,830,5514.0,1423.0,4091.0,1345.0,1121.0,2901.0,75.0,72.0
32,2012,17031010702,2258.0,1689.0,569.0,830,5514.0,1423.0,4091.0,1345.0,1121.0,2901.0,75.0,72.0
33,2010,17031020100,1570.0,787.0,783.0,952,3541.0,825.0,2716.0,1327.0,1021.0,665.0,528.0,0.0
34,2011,17031020100,1570.0,787.0,783.0,952,3541.0,825.0,2716.0,1327.0,1021.0,665.0,528.0,0.0
35,2012,17031020100,1570.0,787.0,783.0,952,3541.0,825.0,2716.0,1327.0,1021.0,665.0,528.0,0.0
36,2010,17031020200,2116.0,384.0,1732.0,956,6773.0,921.0,5852.0,3821.0,1022.0,385.0,1480.0,65.0
37,2011,17031020200,2116.0,384.0,1732.0,956,6773.0,921.0,5852.0,3821.0,1022.0,385.0,1480.0,65.0
38,2012,17031020200,2116.0,384.0,1732.0,956,6773.0,921.0,5852.0,3821.0,1022.0,385.0,1480.0,65.0
39,2010,17031020301,2141.0,389.0,1752.0,792,4470.0,487.0,3983.0,3529.0,146.0,464.0,290.0,41.0
40,2011,17031020301,2141.0,389.0,1752.0,792,4470.0,487.0,3983.0,3529.0,146.0,464.0,290.0,41.0
41,2012,17031020301,2141.0,389.0,1752.0,792,4470.0,487.0,3983.0,3529.0,146.0,464.0,290.0,41.0
42,2010,17031020302,1795.0,724.0,1071.0,1063,4605.0,576.0,4029.0,2957.0,413.0,554.0,480.0,201.0
43,2011,17031020302,1795.0,724.0,1071.0,1063,4605.0,576.0,4029.0,2957.0,413.0,554.0,480.0,201.0
44,2012,17031020302,1795.0,724.0,1071.0,1063,4605.0,576.0,4029.0,2957.0,413.0,554.0,480.0,201.0
45,2010,17031020400,1779.0,871.0,908.0,944,3835.0,384.0,3451.0,2290.0,373.0,387.0,645.0,140.0
46,2011,17031020400,1779.0,871.0,908.0,944,3835.0,384.0,3451.0,2290.0,373.0,387.0,645.0,140.0
47,2012,17031020400,1779.0,871.0,908.0,944,3835.0,384.0,3451.0,2290.0,373.0,387.0,645.0,140.0
48,2010,17031020500,2293.0,1319.0,974.0,902,5750.0,1426.0,4324.0,1084.0,813.0,1788.0,1651.0,414.0
49,2011,17031020500,2293.0,1319.0,974.0,902,5750.0,1426.0,4324.0,1084.0,813.0,1788.0,1651.0,414.0
50,2012,17031020500,2293.0,1319.0,974.0,902,5750.0,1426.0,4324.0,1084.0,813.0,1788.0,1651.0,414.0
51,2010,17031020601,2219.0,1231.0,988.0,942,6035.0,1973.0,4062.0,2856.0,391.0,1508.0,1049.0,231.0
52,2011,17031020601,2219.0,1231.0,988.0,942,6035.0,1973.0,4062.0,2856.0,391.0,1508.0,1049.0,231.0
53,2012,17031020601,2219.0,1231.0,988.0,942,6035.0,1973.0,4062.0,2856.0,391.0,1508.0,1049.0,231.0
54,2010,17031020602,1516.0,814.0,702.0,955,4407.0,317.0,4090.0,1395.0,298.0,1584.0,1078.0,52.0
55,2011,17031020602,1516.0,814.0,702.0,955,4407.0,317.0,4090.0,1395.0,298.0,1584.0,1078.0,52.0
56,2012,17031020602,1516.0,814.0,702.0,955,4407.0,317.0,4090.0,1395.0,298.0,1584.0,1078.0,52.0
57,2010,17031020701,654.0,229.0,425.0,1285,1928.0,472.0,1456.0,1030.0,113.0,321.0,427.0,37.0
58,2011,17031020701,654.0,229.0,425.0,1285,1928.0,472.0,1456.0,1030.0,113.0,321.0,427.0,37.0
59,2012,17031020701,654.0,229.0,425.0,1285,1928.0,472.0,1456.0,1030.0,113.0,321.0,427.0,37.0
60,2010,17031020702,2545.0,1369.0,1176.0,939,7285.0,976.0,6309.0,3266.0,345.0,875.0,2751.0,48.0
61,2011,17031020702,2545.0,1369.0,1176.0,939,7285.0,976.0,6309.0,3266.0,345.0,875.0,2751.0,48.0
62,2012,17031020702,2545.0,1369.0,1176.0,939,7285.0,976.0,6309.0,3266.0,345.0,875.0,2751.0,48.0
63,2010,17031020801,2158.0,1091.0,1067.0,866,5841.0,1133.0,4708.0,2452.0,187.0,2000.0,1157.0,45.0
64,2011,17031020801,2158.0,1091.0,1067.0,866,5841.0,1133.0,4708.0,2452.0,187.0,2000.0,1157.0,45.0
65,2012,17031020801,2158.0,1091.0,1067.0,866,5841.0,1133.0,4708.0,2452.0,187.0,2000.0,1157.0,45.0
66,2010,17031020802,2455.0,1336.0,1119.0,928,6746.0,1167.0,5579.0,1966.0,793.0,1734.0,1923.0,330.0
67,2011,17031020802,2455.0,1336.0,1119.0,928,6746.0,1167.0,5579.0,1966.0,793.0,1734.0,1923.0,330.0
68,2012,17031020802,2455.0,1336.0,1119.0,928,6746.0,1167.0,5579.0,1966.0,793.0,1734.0,1923.0,330.0
69,2010,17031020901,2295.0,1282.0,1013.0,947,6380.0,1193.0,5187.0,1227.0,785.0,2392.0,1711.0,265.0
70,2011,17031020901,2295.0,1282.0,1013.0,947,6380.0,1193.0,5187.0,1227.0,785.0,2392.0,1711.0,265.0
71,2012,17031020901,2295.0,1282.0,1013.0,947,6380.0,1193.0,5187.0,1227.0,785.0,2392.0,1711.0,265.0
72,2010,17031020902,1668.0,650.0,1018.0,813,4473.0,751.0,3722.0,1957.0,650.0,764.0,1071.0,31.0
73,2011,17031020902,1668.0,650.0,1018.0,813,4473.0,751.0,3722.0,1957.0,650.0,764.0,1071.0,31.0
74,2012,17031020902,1668.0,650.0,1018.0,813,4473.0,751.0,3722.0,1957.0,650.0,764.0,1071.0,31.0
75,2010,17031030101,2542.0,1456.0,1086.0,766,3795.0,827.0,2968.0,1521.0,861.0,796.0,553.0,64.0
76,2011,17031030101,2542.0,1456.0,1086.0,766,3795.0,827.0,2968.0,1521.0,861.0,796.0,553.0,64.0
77,2012,17031030101,2542.0,1456.0,1086.0,766,3795.0,827.0,2968.0,1521.0,861.0,796.0,553.0,64.0
78,2010,17031030102,2042.0,1156.0,886.0,725,3190.0,775.0,2415.0,1540.0,733.0,311.0,470.0,136.0
79,2011,17031030102,2042.0,1156.0,886.0,725,3190.0,775.0,2415.0,1540.0,733.0,311.0,470.0,136.0
