,year,tract,housing_units_total,housing_units_rental,housing_units_other,median_rent,population_total,population_poverty_below,population_poverty_above,population_race_white,population_race_black,population_race_latinx,population_race_asian,population_race_other
0,2010,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
1,2011,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
2,2012,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
3,2013,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
4,2014,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
5,2015,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
6,2016,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
7,2017,17031010100,2670.0,1987.0,683.0,729,5303.0,1554.0,3749.0,1188.0,2642.0,649.0,541.0,283.0
8,2010,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
9,2011,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
10,2012,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
11,2013,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
12,2014,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
13,2015,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
14,2016,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
15,2017,17031010201,2973.0,1761.0,1212.0,855,5924.0,1795.0,4129.0,1437.0,2763.0,1335.0,300.0,89.0
16,2010,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
17,2011,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
18,2012,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
19,2013,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
20,2014,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
21,2015,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
22,2016,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
23,2017,17031010202,1295.0,899.0,396.0,832,2981.0,677.0,2304.0,969.0,1087.0,679.0,61.0,185.0
24,2010,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
25,2011,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
26,2012,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
27,2013,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
28,2014,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
29,2015,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
30,2016,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
31,2017,17031010300,3295.0,1970.0,1325.0,859,6475.0,1392.0,5083.0,3037.0,1366.0,1588.0,391.0,93.0
32,2010,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
33,2011,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
34,2012,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
35,2013,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
36,2014,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
37,2015,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
38,2016,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
39,2017,17031010400,2375.0,1488.0,887.0,837,4651.0,846.0,3805.0,2749.0,646.0,661.0,427.0,168.0
40,2010,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
41,2011,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
42,2012,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
43,2013,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
44,2014,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
45,2015,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
46,2016,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
47,2017,17031010501,2561.0,2004.0,557.0,740,4138.0,1270.0,2868.0,1564.0,2048.0,215.0,248.0,63.0
48,2010,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
49,2011,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
50,2012,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
51,2013,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
52,2014,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
53,2015,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
54,2016,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
55,2017,17031010502,1957.0,1476.0,481.0,759,3294.0,1239.0,2055.0,1721.0,578.0,466.0,308.0,221.0
56,2010,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
57,2011,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
58,2012,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
59,2013,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
60,2014,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
61,2015,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
62,2016,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
63,2017,17031010503,1245.0,975.0,270.0,709,1778.0,679.0,1099.0,1213.0,287.0,156.0,94.0,28.0
64,2010,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
65,2011,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
66,2012,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
67,2013,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
68,2014,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
69,2015,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
70,2016,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
71,2017,17031010600,3299.0,1954.0,1345.0,845,6563.0,1765.0,4798.0,2394.0,1673.0,1861.0,346.0,289.0
72,2010,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
73,2011,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
74,2012,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
75,2013,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
76,2014,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
77,2015,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
78,2016,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
79,2017,17031010701,1647.0,767.0,880.0,853,3734.0,493.0,3241.0,1570.0,542.0,1427.0,65.0,130.0
