GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
05001480100,2000,4801,"Arkansas County, Arkansas",1656.0,13.94,130.0,18.65,300.0,35078.0,51300.0,25.6,82.91,15.7,0.18,0.36,0.0,0.0,0.79,0.06,0.0,,,0.0,0,0,1
05001480100,2001,4801,"Arkansas County, Arkansas",1656.0,13.94,129.0,18.65,300.0,35078.0,51300.0,25.6,82.91,15.7,0.18,0.36,0.0,0.0,0.79,0.06,0.0,,,0.0,0,0,1
05001480100,2002,4801,"Arkansas County, Arkansas",1656.0,13.94,128.0,18.65,300.0,35078.0,51300.0,25.6,82.91,15.7,0.18,0.36,0.0,0.0,0.79,0.06,0.0,,,0.0,0,0,1
05001480100,2003,4801,"Arkansas County, Arkansas",1656.0,13.94,128.0,18.65,300.0,35078.0,51300.0,25.6,82.91,15.7,0.18,0.36,0.0,0.0,0.79,0.06,1.0,,,0.78,0,0,1
05001480100,2004,4801,"Arkansas County, Arkansas",1656.0,13.94,127.0,18.65,300.0,35078.0,51300.0,25.6,82.91,15.7,0.18,0.36,0.0,0.0,0.79,0.06,0.0,,,0.0,0,0,1
05001480100,2005,4801,"Arkansas County, Arkansas",1434.0,10.5,126.0,20.58,553.0,42744.0,39200.0,17.6,87.31,12.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,1
05001480100,2006,4801,"Arkansas County, Arkansas",1434.0,10.5,125.0,20.58,553.0,42744.0,39200.0,17.6,87.31,12.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,1
05001480100,2007,4801,"Arkansas County, Arkansas",1434.0,10.5,124.0,20.58,553.0,42744.0,39200.0,17.6,87.31,12.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,1
05001480100,2008,4801,"Arkansas County, Arkansas",1434.0,10.5,124.0,20.58,553.0,42744.0,39200.0,17.6,87.31,12.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,1
05001480100,2009,4801,"Arkansas County, Arkansas",1434.0,10.5,123.0,20.58,553.0,42744.0,39200.0,17.6,87.31,12.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,1
05001480100,2010,4801,"Arkansas County, Arkansas",1435.0,3.21,122.0,18.46,653.0,45217.0,53900.0,17.1,86.97,11.43,0.63,0.07,0.07,0.0,0.77,0.07,0.0,,,0.0,0,0,1
05001480100,2011,4801,"Arkansas County, Arkansas",1534.0,8.31,124.0,11.32,638.0,38882.0,55900.0,21.0,91.26,8.41,0.33,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,1
05001480100,2012,4801,"Arkansas County, Arkansas",1534.0,8.31,126.0,11.32,638.0,38882.0,55900.0,21.0,91.26,8.41,0.33,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,1
05001480100,2013,4801,"Arkansas County, Arkansas",1534.0,8.31,128.0,11.32,638.0,38882.0,55900.0,21.0,91.26,8.41,0.33,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,1
