GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
45001950100,2000,9501,"Abbeville County, South Carolina",3628.65,13.93,266.0,18.72,312.0,33257.0,72100.0,21.3,81.92,15.82,1.07,0.11,0.11,0.03,0.85,0.08,,,,,0,0,0
45001950100,2001,9501,"Abbeville County, South Carolina",3628.65,13.93,268.0,18.72,312.0,33257.0,72100.0,21.3,81.92,15.82,1.07,0.11,0.11,0.03,0.85,0.08,,,,,0,0,0
45001950100,2002,9501,"Abbeville County, South Carolina",3628.65,13.93,271.0,18.72,312.0,33257.0,72100.0,21.3,81.92,15.82,1.07,0.11,0.11,0.03,0.85,0.08,,,,,0,0,0
45001950100,2003,9501,"Abbeville County, South Carolina",3628.65,13.93,273.0,18.72,312.0,33257.0,72100.0,21.3,81.92,15.82,1.07,0.11,0.11,0.03,0.85,0.08,,,,,0,0,0
45001950100,2004,9501,"Abbeville County, South Carolina",3628.65,13.93,275.0,18.72,312.0,33257.0,72100.0,21.3,81.92,15.82,1.07,0.11,0.11,0.03,0.85,0.08,,,,,0,0,0
45001950100,2005,9501,"Abbeville County, South Carolina",3663.64,6.05,277.0,21.06,503.0,38516.0,76700.0,34.8,78.77,20.66,0.57,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
45001950100,2006,9501,"Abbeville County, South Carolina",3663.64,6.05,280.0,21.06,503.0,38516.0,76700.0,34.8,78.77,20.66,0.57,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
45001950100,2007,9501,"Abbeville County, South Carolina",3663.64,6.05,282.0,21.06,503.0,38516.0,76700.0,34.8,78.77,20.66,0.57,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
45001950100,2008,9501,"Abbeville County, South Carolina",3663.64,6.05,284.0,21.06,503.0,38516.0,76700.0,34.8,78.77,20.66,0.57,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
45001950100,2009,9501,"Abbeville County, South Carolina",3663.64,6.05,287.0,21.06,503.0,38516.0,76700.0,34.8,78.77,20.66,0.57,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0
45001950100,2010,9501,"Abbeville County, South Carolina",3254.0,5.09,289.0,21.98,574.0,38167.0,86400.0,34.4,85.06,12.42,1.01,0.37,0.12,0.0,0.95,0.06,33.0,7.0,2.42,11.42,0,0,0
45001950100,2011,9501,"Abbeville County, South Carolina",3066.0,9.72,293.0,18.42,725.0,35603.0,78000.0,28.2,79.29,15.36,2.35,0.36,0.0,0.0,2.64,0.0,61.0,1.0,0.34,20.85,0,0,0
45001950100,2012,9501,"Abbeville County, South Carolina",3066.0,9.72,296.0,18.42,725.0,35603.0,78000.0,28.2,79.29,15.36,2.35,0.36,0.0,0.0,2.64,0.0,58.0,0.0,0.0,19.59,0,0,0
45001950100,2013,9501,"Abbeville County, South Carolina",3066.0,9.72,300.0,18.42,725.0,35603.0,78000.0,28.2,79.29,15.36,2.35,0.36,0.0,0.0,2.64,0.0,58.0,6.0,2.0,19.37,0,0,0
45001950100,2014,9501,"Abbeville County, South Carolina",3066.0,9.72,303.0,18.42,725.0,35603.0,78000.0,28.2,79.29,15.36,2.35,0.36,0.0,0.0,2.64,0.0,59.0,7.0,2.31,19.47,0,0,0
45001950100,2015,9501,"Abbeville County, South Carolina",3066.0,9.72,307.0,18.42,725.0,35603.0,78000.0,28.2,79.29,15.36,2.35,0.36,0.0,0.0,2.64,0.0,67.0,10.0,3.26,21.86,0,0,0
45001950100,2016,9501,"Abbeville County, South Carolina",3066.0,9.72,310.0,18.42,725.0,35603.0,78000.0,28.2,79.29,15.36,2.35,0.36,0.0,0.0,2.64,0.0,62.0,22.0,7.1,20.0,0,0,0
45001950200,2000,9502,"Abbeville County, South Carolina",3952.0,9.98,233.0,17.04,424.0,37061.0,76600.0,24.0,76.97,21.36,0.86,0.03,0.33,0.03,0.38,0.05,,,,,0,0,0
45001950200,2001,9502,"Abbeville County, South Carolina",3952.0,9.98,235.0,17.04,424.0,37061.0,76600.0,24.0,76.97,21.36,0.86,0.03,0.33,0.03,0.38,0.05,,,,,0,0,0
45001950200,2002,9502,"Abbeville County, South Carolina",3952.0,9.98,237.0,17.04,424.0,37061.0,76600.0,24.0,76.97,21.36,0.86,0.03,0.33,0.03,0.38,0.05,,,,,0,0,0
45001950200,2003,9502,"Abbeville County, South Carolina",3952.0,9.98,238.0,17.04,424.0,37061.0,76600.0,24.0,76.97,21.36,0.86,0.03,0.33,0.03,0.38,0.05,,,,,0,0,0
45001950200,2004,9502,"Abbeville County, South Carolina",3952.0,9.98,240.0,17.04,424.0,37061.0,76600.0,24.0,76.97,21.36,0.86,0.03,0.33,0.03,0.38,0.05,,,,,0,0,0
45001950200,2005,9502,"Abbeville County, South Carolina",4642.0,10.9,242.0,19.7,606.0,42672.0,105100.0,25.0,76.88,19.52,2.37,0.0,0.0,0.0,1.03,0.19,,,,,0,0,0
45001950200,2006,9502,"Abbeville County, South Carolina",4642.0,10.9,244.0,19.7,606.0,42672.0,105100.0,25.0,76.88,19.52,2.37,0.0,0.0,0.0,1.03,0.19,,,,,0,0,0
