"filing_year","tract","eviction_filings_total","eviction_filings_rate","eviction_filings_sealed","eviction_filings_unclear","eviction_filings_completed","case_type_single_action","case_type_joint_action","back_rent_median","back_rent_0","back_rent_1_to_999","back_rent_1000_to_2499","back_rent_2500_to_4999","back_rent_5000_or_more","landlord_prose","landlord_represented","tenant_prose","tenant_represented","tenant_rep_pa","tenant_rep_laa","eviction_order_yes","eviction_order_no","eviction_order_yes_tenant_prose","eviction_order_no_tenant_prose","eviction_order_yes_tenant_represented","eviction_order_no_tenant_represented","eviction_order_yes_tenant_rep_pa","eviction_order_no_tenant_rep_pa","eviction_order_yes_tenant_rep_laa","eviction_order_no_tenant_rep_laa","ftu_eviction_order","ftu_other_outcome","ftu_no_outcome","ftu_eviction_order_tenant_prose","ftu_other_outcome_tenant_prose","ftu_no_outcome_tenant_prose","ftu_eviction_order_tenant_represented","ftu_other_outcome_tenant_represented","ftu_no_outcome_tenant_represented","default_eviction_order_yes","default_eviction_order_no","default_eviction_order_yes_tenant_prose","default_eviction_order_no_tenant_prose","default_eviction_order_yes_tenant_represented","default_eviction_order_no_tenant_represented"
2010,"17031010100",119,5.990,1,2,116,14,102,2334.560,14,16,37,38,11,19,97,109,7,6,1,85,31,82,27,3,4,3,3,0,1,53,7,56,52,7,50,1,0,6,27,89,27,82,0,7
2010,"17031010201",82,4.660,4,1,77,10,67,2559.600,10,12,21,27,7,16,61,71,6,4,2,47,30,46,25,1,5,1,3,0,2,29,9,39,29,9,33,0,0,6,9,68,9,62,0,6
2010,"17031010202",58,6.450,0,1,57,3,54,1916.840,3,6,32,13,3,1,56,53,4,4,0,36,21,33,20,3,1,3,1,0,0,22,5,30,22,5,26,0,0,4,6,51,6,47,0,4
2010,"17031010300",78,3.960,1,2,75,9,66,1975.610,9,5,40,15,6,1,74,69,6,4,2,41,34,40,29,1,5,1,3,0,2,24,12,39,24,12,33,0,0,6,9,66,8,61,1,5
2010,"17031010400",42,2.820,0,1,41,3,38,2180,2,3,22,10,4,2,39,37,4,2,2,25,16,22,15,3,1,2,0,1,1,15,3,23,15,3,19,0,0,4,6,35,6,31,0,4
2010,"17031010501",59,2.940,0,0,59,10,49,1765.320,10,10,28,11,0,7,52,50,9,6,3,36,23,30,20,6,3,5,1,1,2,24,6,29,24,6,20,0,0,9,7,52,7,43,0,9
2010,"17031010502",38,2.570,1,0,37,3,34,2290.390,2,4,16,9,6,6,31,30,7,6,1,25,12,21,9,4,3,4,2,0,1,15,2,20,14,2,14,1,0,6,5,32,5,25,0,7
2010,"17031010503",7,0.720,0,0,7,0,7,2296.740,0,0,5,2,0,1,6,6,1,1,0,6,1,6,0,0,1,0,1,0,0,4,0,3,4,0,2,0,0,1,0,7,0,6,0,1
2010,"17031010600",68,3.480,1,1,66,12,54,2690,11,5,21,21,8,7,59,56,10,9,1,41,25,35,21,6,4,6,3,0,1,23,8,35,23,7,26,0,1,9,14,52,14,42,0,10
2010,"17031010701",35,4.560,0,0,35,2,33,2595,2,0,15,15,3,7,28,32,3,3,0,24,11,22,10,2,1,2,1,0,0,16,3,16,16,3,13,0,0,3,4,31,4,28,0,3
2010,"17031010702",67,3.970,0,2,65,5,60,2262.500,5,8,29,17,6,12,53,59,6,4,2,41,24,38,21,3,3,3,1,0,2,29,6,30,28,5,26,1,1,4,11,54,11,48,0,6
2010,"17031020100",48,6.100,5,0,43,2,41,1600,2,16,13,10,2,5,38,36,7,7,0,24,19,20,16,4,3,4,3,0,0,15,3,25,14,3,19,1,0,6,5,38,5,31,0,7
2010,"17031020200",17,4.430,0,0,17,3,14,2527.500,3,0,7,4,3,6,11,14,3,3,0,11,6,10,4,1,2,1,2,0,0,8,2,7,8,2,4,0,0,3,3,14,3,11,0,3
2010,"17031020301",12,3.080,0,0,12,3,9,5410.390,3,0,0,4,5,0,12,10,2,2,0,5,7,3,7,2,0,2,0,0,0,2,0,10,2,0,8,0,0,2,3,9,3,7,0,2
2010,"17031020302",36,4.970,6,0,30,12,18,2359.930,12,3,9,2,4,6,24,28,2,2,0,20,10,18,10,2,0,2,0,0,0,14,3,13,13,3,12,1,0,1,4,26,4,24,0,2
2010,"17031020400",42,4.820,4,0,38,8,30,2832.630,8,4,8,13,5,4,34,33,5,4,1,20,18,18,15,2,3,2,2,0,1,12,3,23,12,3,18,0,0,5,6,32,6,27,0,5
2010,"17031020500",50,3.790,0,1,49,2,47,2555.500,2,3,19,16,9,11,38,43,6,6,0,33,16,28,15,5,1,5,1,0,0,20,5,24,18,5,20,2,0,4,17,32,14,29,3,3
2010,"17031020601",51,4.140,6,0,45,3,42,2691.580,3,2,16,14,10,2,43,41,4,4,0,30,15,27,14,3,1,3,1,0,0,14,4,27,13,4,24,1,0,3,5,40,5,36,0,4
2010,"17031020602",9,1.110,2,0,7,0,7,4224.340,0,1,1,3,2,2,5,7,0,0,0,6,1,6,1,0,0,0,0,0,0,5,0,2,5,0,2,0,0,0,2,5,2,5,0,0
2010,"17031020701",5,2.180,1,0,4,1,3,2787.540,1,0,1,1,1,0,4,3,1,0,1,4,0,3,0,1,0,0,0,1,0,0,0,4,0,0,3,0,0,1,3,1,3,0,0,1
2010,"17031020702",50,3.650,0,1,49,6,43,2900,6,2,16,18,7,11,38,47,2,1,1,37,12,36,11,1,1,1,0,0,1,29,2,18,29,2,16,0,0,2,6,43,6,41,0,2
2010,"17031020801",21,1.920,2,0,19,9,10,2984.640,8,1,4,2,4,2,17,17,2,2,0,17,2,15,2,2,0,2,0,0,0,14,0,5,14,0,3,0,0,2,4,15,4,13,0,2
2010,"17031020802",52,3.890,5,1,46,3,43,2192.420,3,7,16,16,4,8,38,41,5,5,0,32,14,30,11,2,3,2,3,0,0,20,5,21,20,5,16,0,0,5,10,36,10,31,0,5
2010,"17031020901",63,4.910,4,0,59,15,44,2668.640,15,1,19,17,7,11,48,51,8,8,0,35,24,32,19,3,5,3,5,0,0,22,6,31,22,6,23,0,0,8,7,52,7,44,0,8
2010,"17031020902",34,5.230,3,0,31,7,24,2689.680,7,1,10,8,5,3,28,29,2,1,1,21,10,20,9,1,1,0,1,1,0,14,1,16,13,1,15,1,0,1,4,27,4,25,0,2
2010,"17031030101",50,3.430,1,0,49,3,46,2681.070,3,2,18,20,6,1,48,43,6,5,1,35,14,32,11,3,3,3,2,0,1,20,1,28,20,1,22,0,0,6,11,38,11,32,0,6
2010,"17031030102",91,7.870,0,1,90,1,89,2678.530,1,1,39,38,11,8,82,82,8,8,0,64,26,57,25,7,1,7,1,0,0,40,12,38,40,12,30,0,0,8,18,72,16,66,2,6
2010,"17031030103",21,2.500,0,0,21,3,18,2059.790,3,1,10,6,1,3,18,20,1,1,0,15,6,15,5,0,1,0,1,0,0,8,3,10,8,3,9,0,0,1,3,18,3,17,0,1
2010,"17031030104",63,8.090,1,0,62,0,62,1935.830,0,13,22,23,4,2,60,58,4,4,0,43,19,41,17,2,2,2,2,0,0,26,11,25,25,11,22,1,0,3,22,40,21,37,1,3
