,model_type,clf,parameters,split_date,min_year_in_train,max_year_in_train,min_year_in_test,max_year_in_test,random_baseline,p_at_1,recall_at_1,f1_at_1,p_at_2,recall_at_2,f1_at_2,p_at_5,recall_at_5,f1_at_5,p_at_10,recall_at_10,f1_at_10,p_at_20,recall_at_20,f1_at_20,p_at_30,recall_at_30,f1_at_30,p_at_50,recall_at_50,f1_at_50,auc-roc
0,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l1'}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10062893081761007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1092436974789916,0.325,0.16352201257861634,0.19899244332493704,0.9875,0.3312368972746331,0.5
1,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 1e-05, 'penalty': 'l2'}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10062893081761007,0.7142857142857143,0.0625,0.11494252873563218,0.6,0.1125,0.18947368421052632,0.38461538461538464,0.1875,0.2521008403361345,0.27848101265822783,0.275,0.27672955974842767,0.27044025157232704,0.5375,0.35983263598326354,0.24789915966386555,0.7375,0.37106918238993714,0.1889168765743073,0.9375,0.3144654088050315,0.8186888111888112
2,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l1'}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10062893081761007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1092436974789916,0.325,0.16352201257861634,0.19899244332493704,0.9875,0.3312368972746331,0.5
3,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.001, 'penalty': 'l2'}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10062893081761007,0.7142857142857143,0.0625,0.11494252873563218,0.6666666666666666,0.125,0.21052631578947367,0.4358974358974359,0.2125,0.2857142857142857,0.3924050632911392,0.3875,0.38993710691823896,0.32075471698113206,0.6375,0.42677824267782427,0.2815126050420168,0.8375,0.4213836477987421,0.19395465994962216,0.9625,0.32285115303983225,0.8645804195804196
4,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l1'}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10062893081761007,0.8571428571428571,0.075,0.13793103448275862,0.8666666666666667,0.1625,0.27368421052631575,0.6666666666666666,0.325,0.4369747899159664,0.5569620253164557,0.55,0.5534591194968553,0.37735849056603776,0.75,0.5020920502092051,0.29831932773109243,0.8875,0.44654088050314467,0.1964735516372796,0.975,0.3270440251572327,0.9060926573426574
5,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 0.1, 'penalty': 'l2'}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10062893081761007,0.7142857142857143,0.0625,0.11494252873563218,0.6666666666666666,0.125,0.21052631578947367,0.6410256410256411,0.3125,0.42016806722689076,0.5443037974683544,0.5375,0.5408805031446542,0.33962264150943394,0.675,0.45188284518828453,0.2773109243697479,0.825,0.4150943396226415,0.19395465994962216,0.9625,0.32285115303983225,0.8797377622377622
6,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l1'}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10062893081761007,0.8571428571428571,0.075,0.13793103448275862,0.6666666666666666,0.125,0.21052631578947367,0.5641025641025641,0.275,0.3697478991596639,0.4810126582278481,0.475,0.4779874213836478,0.32075471698113206,0.6375,0.42677824267782427,0.24369747899159663,0.725,0.36477987421383645,0.17380352644836272,0.8625,0.28930817610062887,0.8246503496503497
7,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 1, 'penalty': 'l2'}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10062893081761007,0.5714285714285714,0.05,0.09195402298850575,0.5333333333333333,0.1,0.16842105263157897,0.41025641025641024,0.2,0.2689075630252101,0.3670886075949367,0.3625,0.36477987421383645,0.2830188679245283,0.5625,0.3765690376569038,0.226890756302521,0.675,0.339622641509434,0.1712846347607053,0.85,0.28511530398322854,0.7825524475524477
8,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l1'}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10062893081761007,0.2857142857142857,0.025,0.04597701149425287,0.2,0.0375,0.0631578947368421,0.2564102564102564,0.125,0.1680672268907563,0.17721518987341772,0.175,0.1761006289308176,0.20125786163522014,0.4,0.26778242677824265,0.18487394957983194,0.55,0.27672955974842767,0.14357682619647355,0.7125,0.2389937106918239,0.6712937062937063
9,LR,"LogisticRegression(C=10, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='warn',
          n_jobs=None, penalty='l2', random_state=None, solver='warn',
          tol=0.0001, verbose=0, warm_start=False)","{'C': 10, 'penalty': 'l2'}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10062893081761007,0.2857142857142857,0.025,0.04597701149425287,0.2,0.0375,0.0631578947368421,0.28205128205128205,0.1375,0.18487394957983194,0.22784810126582278,0.225,0.22641509433962267,0.20754716981132076,0.4125,0.2761506276150627,0.18907563025210083,0.5625,0.2830188679245283,0.1561712846347607,0.775,0.259958071278826,0.7056993006993008
