,tract,year,prediction_lr,prediction_rf
2885,251800,2017,0,1
2331,832200,2017,0,1
1979,190602,2017,0,1
634,051200,2017,0,1
2309,220500,2017,0,1
2671,240200,2017,0,1
3214,281900,2017,0,1
5170,840200,2017,0,1
1057,070600,2017,0,1
4968,570300,2017,0,1
2032,200100,2017,0,1
6111,711200,2017,0,1
3338,292500,2017,0,1
5402,835100,2017,0,1
899,062900,2017,0,1
4636,491000,2017,0,1
3745,351000,2017,0,1
194,020100,2017,0,1
4745,520600,2017,0,1
2674,240600,2017,0,1
907,831900,2017,0,1
2683,241500,2017,0,1
2695,243000,2017,0,1
2333,832400,2017,0,1
4400,450300,2017,0,1
3216,282800,2017,0,1
902,063200,2017,0,1
885,061200,2017,0,1
4640,491400,2017,0,1
3217,283100,2017,0,1
432,031502,2017,0,1
3228,841900,2017,0,1
1218,081202,2017,0,1
435,031900,2017,0,1
3342,841500,2017,0,1
6164,720100,2017,0,1
6100,710100,2017,0,1
3483,301701,2017,0,1
6113,711400,2017,0,1
1978,190601,2017,0,1
5335,620100,2017,0,1
3476,300600,2017,0,1
632,051000,2017,0,1
5298,611500,2017,0,1
1251,090100,2017,0,1
4925,560800,2017,0,1
328,030104,2017,0,1
4638,491200,2017,0,1
4806,530400,2017,0,1
2316,221000,2017,0,1
5592,661000,2017,0,1
2453,842100,2017,0,1
4807,530501,2017,0,1
1228,838300,2017,0,1
3211,280400,2017,0,1
4525,480100,2017,0,1
1987,191301,2017,0,1
5043,580300,2017,0,1
5924,691100,2017,0,1
2883,251600,2017,0,1
3643,330200,2017,0,1
1738,160400,2017,0,1
1989,831500,2017,0,1
1311,100200,2017,0,1
1988,191302,2017,0,1
6312,750400,2017,0,1
3491,841700,2017,0,1
5166,839800,2017,0,1
2673,240500,2017,0,1
5165,839700,2017,0,1
2877,251000,2017,0,1
2332,832300,2017,0,1
5585,660302,2017,0,1
2328,222900,2017,0,1
2893,831400,2017,0,1
4527,480300,2017,0,1
3490,840800,2017,0,1
6265,740300,2017,0,1
1628,151200,2017,0,1
196,020301,2017,0,0
5829,681200,2017,0,0
519,040401,2017,0,0
5290,610300,2017,0,0
4639,491300,2017,0,0
2314,220901,2017,0,0
4093,411000,2017,0,0
334,030603,2017,0,0
905,063303,2017,0,0
908,832000,2017,0,0
2890,252201,2017,0,0
5396,630200,2017,0,0
1512,140500,2017,0,0
5739,671300,2017,0,0
5990,700302,2017,0,0
2447,230900,2017,0,0
4664,500200,2017,0,0
2892,831300,2017,0,0
631,050900,2017,0,0
1227,081900,2017,0,0
2970,260700,2017,0,0
6228,730201,2017,0,0
5047,580600,2017,0,0
5292,610800,2017,0,0
4176,420200,2017,0,0
333,030601,2017,0,0
4629,490400,2017,0,0
2686,242100,2017,0,0
5399,630500,2017,0,0
91,010503,2017,0,0
627,050500,2017,0,0
5452,640100,2017,0,0
6166,720300,2017,0,0
6231,730400,2017,0,0
430,031400,2017,0,0
3492,843500,2017,0,0
5993,700501,2017,0,0
4304,431400,2017,0,0
4301,431200,2017,0,0
4384,440900,2017,0,0
3749,839200,2017,0,0
4826,540102,2017,0,0
5458,640800,2017,0,0
4966,570100,2017,0,0
3229,842900,2017,0,0
2880,251300,2017,0,0
516,040201,2017,0,0
3949,390300,2017,0,0
2872,250400,2017,0,0
5921,690500,2017,0,0
1310,100100,2017,0,0
2971,260800,2017,0,0
5730,670300,2017,0,0
3783,360200,2017,0,0
426,031000,2017,0,0
5395,630100,2017,0,0
5994,700502,2017,0,0
2034,200300,2017,0,0
6114,711500,2017,0,0
2110,210501,2017,0,0
3480,301100,2017,0,0
5297,611400,2017,0,0
1219,081300,2017,0,0
3884,380200,2017,0,0
6354,760802,2017,0,0
1064,071500,2017,0,0
1514,140602,2017,0,0
2691,242600,2017,0,0
4183,421200,2017,0,0
3574,310600,2017,0,0
433,031700,2017,0,0
84,010100,2017,0,0
1627,151100,2017,0,0
6232,730500,2017,0,0
1060,071100,2017,0,0
5737,671100,2017,0,0
5457,640700,2017,0,0
3577,310900,2017,0,0
3617,320400,2017,0,0
5734,670700,2017,0,0
2318,221200,2017,0,0
5163,600700,2017,0,0
4479,460700,2017,0,0
335,030604,2017,0,0
4842,550200,2017,0,0
4694,510100,2017,0,0
3344,843000,2017,0,0
5586,660400,2017,0,0
3213,280900,2017,0,0
1741,160601,2017,0,0
2968,260500,2017,0,0
4299,430800,2017,0,0
5291,610400,2017,0,0
1212,080202,2017,0,0
4633,490800,2017,0,0
6310,750200,2017,0,0
4297,430600,2017,0,0
2884,251700,2017,0,0
630,050800,2017,0,0
3226,838100,2017,0,0
4091,410800,2017,0,0
1836,171000,2017,0,0
1067,071800,2017,0,0
2312,220701,2017,0,0
4382,440700,2017,0,0
1619,150402,2017,0,0
3996,400300,2017,0,0
4473,460200,2017,0,0
2694,242900,2017,0,0
2440,230200,2017,0,0
4696,510300,2017,0,0
437,830700,2017,0,0
1737,160300,2017,0,0
2871,250300,2017,0,0
3948,390200,2017,0,0
5824,680500,2017,0,0
515,040100,2017,0,0
5164,600900,2017,0,0
1253,090300,2017,0,0
2442,230400,2017,0,0
3570,310200,2017,0,0
4001,836100,2017,0,0
5733,670600,2017,0,0
877,060200,2017,0,0
1749,161300,2017,0,0
2676,240800,2017,0,0
1747,161100,2017,0,0
3058,270500,2017,0,0
4969,570400,2017,0,0
2449,231200,2017,0,0
2966,260300,2017,0,0
4303,431302,2017,0,0
3477,300700,2017,0,0
95,830600,2017,0,0
4804,530200,2017,0,0
3680,340300,2017,0,0
5501,650100,2017,0,0
1973,190100,2017,0,0
5504,650302,2017,0,0
2308,220400,2017,0,0
2035,200401,2017,0,0
2870,250200,2017,0,0
3999,400800,2017,0,0
876,060100,2017,0,0
4743,520400,2017,0,0
893,062300,2017,0,0
5594,835000,2017,0,0
5456,640600,2017,0,0
1736,160200,2017,0,0
202,020701,2017,0,0
1624,150800,2017,0,0
4380,440300,2017,0,0
6165,720200,2017,0,0
4088,410500,2017,0,0
5162,600600,2017,0,0
1748,161200,2017,0,0
5729,670200,2017,0,0
1735,160100,2017,0,0
195,020200,2017,0,0
1211,080201,2017,0,0
890,062000,2017,0,0
5455,640500,2017,0,0
3684,841100,2017,0,0
1746,161000,2017,0,0
892,062200,2017,0,0
5453,640300,2017,0,0
4967,570200,2017,0,0
200,020601,2017,0,0
6106,710700,2017,0,0
3887,381400,2017,0,0
5827,681000,2017,0,0
5398,630400,2017,0,0
1224,081600,2017,0,0
1622,150600,2017,0,0
629,050700,2017,0,0
206,020901,2017,0,0
887,061800,2017,0,0
2701,842300,2017,0,0
3890,381900,2017,0,0
1831,170500,2017,0,0
4920,560100,2017,0,0
1252,090200,2017,0,0
5089,840300,2017,0,0
4095,411200,2017,0,0
2446,230800,2017,0,0
5832,834600,2017,0,0
884,061100,2017,0,0
3481,301200,2017,0,0
2874,250600,2017,0,0
895,062500,2017,0,0
3579,841300,2017,0,0
4294,430300,2017,0,0
886,061500,2017,0,0
2315,220902,2017,0,0
3487,301803,2017,0,0
3339,838600,2017,0,0
1312,100300,2017,0,0
3681,340400,2017,0,0
6112,711300,2017,0,0
878,060300,2017,0,0
524,040900,2017,0,0
5834,834800,2017,0,0
3488,830500,2017,0,0
1985,191100,2017,0,0
4928,561100,2017,0,0
2879,251200,2017,0,0
1977,190402,2017,0,0
5306,843800,2017,0,0
637,843700,2017,1,0
6230,730300,2017,0,0
199,020500,2017,0,0
4295,430400,2017,0,0
1314,100500,2017,0,0
3340,838700,2017,1,0
3486,301802,2017,0,0
1217,081201,2017,0,0
5922,690900,2017,0,0
5591,660900,2017,0,0
2441,230300,2017,0,0
4923,560400,2017,0,0
1510,140302,2017,0,0
2033,200200,2017,0,0
3950,390400,2017,0,0
3061,271400,2017,0,0
1629,831700,2017,0,0
5041,580100,2017,0,0
5746,834900,2017,0,0
6170,720700,2017,0,0
5337,620300,2017,0,0
4177,420300,2017,0,0
3573,310500,2017,0,0
4175,420100,2017,0,0
2443,230500,2017,0,0
4381,440600,2017,0,0
3747,351400,2017,0,0
896,062600,2017,0,0
5587,660500,2017,0,0
5925,691200,2017,0,0
2698,243300,2017,0,0
427,031100,2017,0,0
326,030102,2017,0,0
2967,260400,2017,0,0
4529,480500,2017,0,0
