,model_type,clf,parameters,split_date,min_year_in_train,max_year_in_train,min_year_in_test,max_year_in_test,baseline,p_at_1,recall_at_1,f1_at_1,p_at_2,recall_at_2,f1_at_2,p_at_5,recall_at_5,f1_at_5,p_at_10,recall_at_10,f1_at_10,p_at_20,recall_at_20,f1_at_20,p_at_30,recall_at_30,f1_at_30,p_at_50,recall_at_50,f1_at_50,auc-roc
0,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': None, 'min_samples_split': 2}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,1.0,0.0875,0.16091954022988506,1.0,0.1875,0.3157894736842105,1.0,0.4875,0.6554621848739496,1.0,0.9875,0.9937106918238994,0.5063291139240507,1.0,0.6722689075630253,0.33613445378151263,1.0,0.5031446540880503,0.20151133501259447,1.0,0.3354297693920335,1.0
1,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': None, 'min_samples_split': 5}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,1.0,0.0875,0.16091954022988506,1.0,0.1875,0.3157894736842105,1.0,0.4875,0.6554621848739496,1.0,0.9875,0.9937106918238994,0.5063291139240507,1.0,0.6722689075630253,0.33613445378151263,1.0,0.5031446540880503,0.20151133501259447,1.0,0.3354297693920335,1.0
2,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': None, 'min_samples_split': 10}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,1.0,0.0875,0.16091954022988506,1.0,0.1875,0.3157894736842105,1.0,0.4875,0.6554621848739496,1.0,0.9875,0.9937106918238994,0.5063291139240507,1.0,0.6722689075630253,0.33613445378151263,1.0,0.5031446540880503,0.20151133501259447,1.0,0.3354297693920335,1.0
3,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.02564102564102564,0.0125,0.01680672268907563,0.012658227848101266,0.0125,0.012578616352201257,0.0759493670886076,0.15,0.10084033613445378,0.19747899159663865,0.5875,0.29559748427672955,0.20151133501259447,1.0,0.3354297693920335,0.6312850140056022
4,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.02564102564102564,0.0125,0.01680672268907563,0.012658227848101266,0.0125,0.012578616352201257,0.24050632911392406,0.475,0.31932773109243695,0.2689075630252101,0.8,0.4025157232704403,0.20151133501259447,1.0,0.3354297693920335,0.7795518207282913
5,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.7142857142857143,0.0625,0.11494252873563218,0.4,0.075,0.1263157894736842,0.5128205128205128,0.25,0.3361344537815126,0.379746835443038,0.375,0.37735849056603776,0.189873417721519,0.375,0.25210084033613445,0.13025210084033614,0.3875,0.1949685534591195,0.20151133501259447,1.0,0.3354297693920335,0.6741946778711484
6,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.02564102564102564,0.0125,0.01680672268907563,0.012658227848101266,0.0125,0.012578616352201257,0.2911392405063291,0.575,0.38655462184873945,0.21008403361344538,0.625,0.31446540880503143,0.20151133501259447,1.0,0.3354297693920335,0.7235644257703081
7,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.02564102564102564,0.0125,0.01680672268907563,0.012658227848101266,0.0125,0.012578616352201257,0.2088607594936709,0.4125,0.2773109243697479,0.23529411764705882,0.7,0.3522012578616352,0.20151133501259447,1.0,0.3354297693920335,0.7211484593837535
8,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037815126050420166,0.1125,0.056603773584905655,0.1486146095717884,0.7375,0.24737945492662472,0.61875
9,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 2}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,1.0,0.0875,0.16091954022988506,1.0,0.1875,0.3157894736842105,1.0,0.4875,0.6554621848739496,1.0,0.9875,0.9937106918238994,0.5063291139240507,1.0,0.6722689075630253,0.33613445378151263,1.0,0.5031446540880503,0.20151133501259447,1.0,0.3354297693920335,1.0
