,model_type,clf,parameters,split_date,min_year_in_train,max_year_in_train,min_year_in_test,max_year_in_test,baseline,p_at_1,recall_at_1,f1_at_1,p_at_2,recall_at_2,f1_at_2,p_at_5,recall_at_5,f1_at_5,p_at_10,recall_at_10,f1_at_10,p_at_20,recall_at_20,f1_at_20,p_at_30,recall_at_30,f1_at_30,p_at_50,recall_at_50,f1_at_50,auc-roc
0,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': None, 'min_samples_split': 2}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.2857142857142857,0.025,0.04597701149425287,0.13333333333333333,0.025,0.04210526315789474,0.10256410256410256,0.05,0.06722689075630252,0.5443037974683544,0.5375,0.5408805031446542,0.27848101265822783,0.55,0.3697478991596639,0.18487394957983194,0.55,0.27672955974842767,0.20151133501259447,1.0,0.3354297693920335,0.7497899159663864
1,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': None, 'min_samples_split': 5}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.2857142857142857,0.025,0.04597701149425287,0.13333333333333333,0.025,0.04210526315789474,0.10256410256410256,0.05,0.06722689075630252,0.5443037974683544,0.5375,0.5408805031446542,0.27848101265822783,0.55,0.3697478991596639,0.18487394957983194,0.55,0.27672955974842767,0.20151133501259447,1.0,0.3354297693920335,0.7497899159663864
2,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': None, 'min_samples_split': 10}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.2857142857142857,0.025,0.04597701149425287,0.13333333333333333,0.025,0.04210526315789474,0.10256410256410256,0.05,0.06722689075630252,0.5443037974683544,0.5375,0.5408805031446542,0.27848101265822783,0.55,0.3697478991596639,0.18487394957983194,0.55,0.27672955974842767,0.20151133501259447,1.0,0.3354297693920335,0.7497899159663864
3,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 2}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.02564102564102564,0.0125,0.01680672268907563,0.012658227848101266,0.0125,0.012578616352201257,0.16455696202531644,0.325,0.2184873949579832,0.2815126050420168,0.8375,0.4213836477987421,0.20151133501259447,1.0,0.3354297693920335,0.7821953781512605
4,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 5}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.3333333333333333,0.1625,0.2184873949579832,0.16455696202531644,0.1625,0.16352201257861637,0.08227848101265822,0.1625,0.1092436974789916,0.14285714285714285,0.425,0.21383647798742136,0.20151133501259447,1.0,0.3354297693920335,0.5665441176470589
5,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'sqrt', 'min_samples_split': 10}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.02564102564102564,0.0125,0.01680672268907563,0.012658227848101266,0.0125,0.012578616352201257,0.02531645569620253,0.05,0.03361344537815126,0.29411764705882354,0.875,0.44025157232704404,0.20151133501259447,1.0,0.3354297693920335,0.7722338935574231
6,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 2}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.02564102564102564,0.0125,0.01680672268907563,0.012658227848101266,0.0125,0.012578616352201257,0.3037974683544304,0.6,0.40336134453781514,0.21428571428571427,0.6375,0.32075471698113206,0.20151133501259447,1.0,0.3354297693920335,0.7207107843137255
7,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 5}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.02564102564102564,0.0125,0.01680672268907563,0.012658227848101266,0.0125,0.012578616352201257,0.12658227848101267,0.25,0.16806722689075632,0.18907563025210083,0.5625,0.2830188679245283,0.20151133501259447,1.0,0.3354297693920335,0.6425945378151261
8,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 1, 'max_features': 'log2', 'min_samples_split': 10}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.23076923076923078,0.1125,0.1512605042016807,0.11392405063291139,0.1125,0.11320754716981134,0.056962025316455694,0.1125,0.07563025210084033,0.13865546218487396,0.4125,0.20754716981132074,0.20151133501259447,1.0,0.3354297693920335,0.5443452380952382
9,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 2}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.02564102564102564,0.0125,0.01680672268907563,0.21518987341772153,0.2125,0.2138364779874214,0.2974683544303797,0.5875,0.3949579831932773,0.28991596638655465,0.8625,0.43396226415094347,0.18639798488664988,0.925,0.31027253668763105,0.7817489495798319
10,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 5}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.02564102564102564,0.0125,0.01680672268907563,0.21518987341772153,0.2125,0.2138364779874214,0.2974683544303797,0.5875,0.3949579831932773,0.28991596638655465,0.8625,0.43396226415094347,0.18639798488664988,0.925,0.31027253668763105,0.7817489495798319
11,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': None, 'min_samples_split': 10}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.8571428571428571,0.075,0.13793103448275862,0.4,0.075,0.1263157894736842,0.6666666666666666,0.325,0.4369747899159664,0.379746835443038,0.375,0.37735849056603776,0.2848101265822785,0.5625,0.3781512605042017,0.2857142857142857,0.85,0.42767295597484273,0.19143576826196473,0.95,0.31865828092243187,0.8204831932773109
12,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 2}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.26666666666666666,0.05,0.08421052631578949,0.48717948717948717,0.2375,0.31932773109243695,0.25316455696202533,0.25,0.25157232704402516,0.21518987341772153,0.425,0.28571428571428575,0.23109243697478993,0.6875,0.3459119496855346,0.17884130982367757,0.8875,0.29769392033542974,0.7420168067226892
13,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 5}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,1.0,0.0875,0.16091954022988506,0.7333333333333333,0.1375,0.23157894736842105,0.5384615384615384,0.2625,0.3529411764705882,0.5569620253164557,0.55,0.5534591194968553,0.3227848101265823,0.6375,0.4285714285714286,0.3025210084033613,0.9,0.45283018867924524,0.20151133501259447,1.0,0.3354297693920335,0.8935224089635853
14,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_split': 10}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.14285714285714285,0.0125,0.022988505747126436,0.06666666666666667,0.0125,0.02105263157894737,0.4358974358974359,0.2125,0.2857142857142857,0.2911392405063291,0.2875,0.2893081761006289,0.17088607594936708,0.3375,0.226890756302521,0.2773109243697479,0.825,0.4150943396226415,0.19899244332493704,0.9875,0.3312368972746331,0.8044992997198879
15,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 2}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.8571428571428571,0.075,0.13793103448275862,0.4666666666666667,0.0875,0.14736842105263157,0.23076923076923078,0.1125,0.1512605042016807,0.3291139240506329,0.325,0.32704402515723274,0.26582278481012656,0.525,0.3529411764705882,0.2647058823529412,0.7875,0.39622641509433965,0.19143576826196473,0.95,0.31865828092243187,0.8303834033613445
16,DT,"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=100,
            max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'criterion': 'gini', 'max_depth': 5, 'max_features': 'log2', 'min_samples_split': 5}",2013-01-01,2010-01-01,2012-01-01,2013-01-01,2013-01-01,0.10075566750629723,0.5714285714285714,0.05,0.09195402298850575,0.4,0.075,0.1263157894736842,0.5128205128205128,0.25,0.3361344537815126,0.4050632911392405,0.4,0.4025157232704402,0.23417721518987342,0.4625,0.31092436974789917,0.27310924369747897,0.8125,0.4088050314465409,0.19899244332493704,0.9875,0.3312368972746331,0.8559173669467788
